Data info
File name: C:\DEWESoft7\Data\Test_kastor_choco_2.d7d
Start time: 20/01/1980 07:28:21.614
Number of channels: 3
Sample rate: 5000
Store type: Toujours rapide


Data1

Time [s]	AI 0 [V]	AI 1 [V]	AI 2 [V]	
0,083	0,92861748	1,5842361	1,6185927
0,0832	0,928298	1,5841622	1,6188562
0,0834	0,92801428	1,5842135	1,6189957
0,0836	0,92782712	1,5842803	1,6191292
0,0838	0,92763758	1,5842564	1,6191006
0,084	0,92756009	1,5840549	1,6193616
0,0842	0,92712855	1,5841229	1,6195369
0,0844	0,92623925	1,5846856	1,6198063
0,0846	0,92563605	1,5852423	1,6199696
0,0848	0,92505789	1,5856762	1,6201639
0,085	0,92467999	1,5862365	1,6203547
0,0852	0,92424369	1,5866013	1,6204119
0,0854	0,92401958	1,587121	1,6204655
0,0856	0,92379904	1,5877361	1,6205752
0,0858	0,92351413	1,5883048	1,6207409
0,086	0,9232614	1,5888841	1,6213751
0,0862	0,92309451	1,5895755	1,621989
0,0864	0,92265701	1,5898628	1,622771
0,0866	0,922328	1,5899546	1,6235662
0,0868	0,92242813	1,5898008	1,624459
0,087	0,92297769	1,5893383	1,6251135
0,0872	0,92371082	1,5887733	1,6258204
0,0874	0,92448092	1,5882893	1,6262901
0,0876	0,9253428	1,5879257	1,6265213
0,0878	0,92597818	1,5875239	1,6261995
0,088	0,92655635	1,5871162	1,6261351
0,0882	0,92709398	1,5866168	1,6260326
0,0884	0,92755651	1,5860267	1,6259158
0,0886	0,92781162	1,5854723	1,6256523
0,0888	0,92809772	1,5846784	1,6253877
0,089	0,92864609	1,5842123	1,6251802
0,0892	0,928931	1,5835388	1,6249645
0,0894	0,92865801	1,5831573	1,6248834
0,0896	0,92844343	1,5832467	1,6247392
0,0898	0,92815137	1,5833099	1,6244924
0,09	0,9279511	1,5833409	1,6244209
0,0902	0,92777944	1,5834041	1,6242421
0,0904	0,92763042	1,5832765	1,6241646
0,0906	0,92751479	1,5832968	1,6240752
0,0908	0,92744088	1,5832801	1,6238236
0,091	0,92747545	1,5834363	1,6238213
0,0912	0,92735386	1,5833254	1,623621
0,0914	0,92742419	1,5835185	1,6236103
0,0916	0,92743611	1,5836365	1,6232944
0,0918	0,92732286	1,5838583	1,62274
0,092	0,92715716	1,5838332	1,6221261
0,0922	0,92692828	1,5838296	1,6217649
0,0924	0,92685556	1,5839846	1,6217566
0,0926	0,9265492	1,5840573	1,6217554
0,0928	0,92619991	1,5841372	1,6215003
0,093	0,92595196	1,5841384	1,6214037
0,0932	0,92591858	1,5841062	1,6213202
0,0934	0,92578864	1,5839763	1,6211259
0,0936	0,92571354	1,583956	1,6210377
